"Now Shopping by","Comprar por"
"Please enter a valid email address(for example, daniel@x.com).","Por favor adicione um e-mail válido (por exemplo, daniel@x.com)."
"Ship to the recipient's address.","Enviar para a morada do destinatário."
"-- All --","-- Todos --"
"Unknown gift registry identifier","Identificador desconhecido de lista de presente"
"All Forms","Todas as formas"
"Registrant Name Search","Pesquisa por Nome de Registante"
"Registrant Email Search","Pesquisa por E-mail de Registante"
"Gift Registry ID Search","Pesquisa por ID de Lista de Ofertas"
"Type","Tipo"
"Owner","Proprietário"
"Created on","Criado na"
"Shipping Address","Endereço de entrega"
"Shopping Cart Items","Itens do Carrinho de Compras"
"New Attribute","Novo Atributo"
"Input Type","Tipo de input"
"Attribute Group","Grupo de atributos"
"Is Required","É necessário"
"Is Searcheable","É pesquisável"
"We found an attribute with this static input type already in the gift registry type. Please select a different input type.","Encontrámos um atributo com este tipo de input estático no tipo de lista de ofertas. Por favor selecione um tipo de input diferente."
"Show Region","Mostrar a região"
"Date Format","Formato de data"
"Is Default","É o Padrão"
"Select a shipping address from your address book or enter a new address.","Selecione um endereço de entrega de seu catálogo de endereços ou insira um novo endereço."
"Company","Empresa"
"Address","Endereço"
"Street Address","Endereço"
"Street Address %1","Endereço %1"
"City","Cidade"
"Please select a region, state or province.","Por favor, selecione uma região, estado ou província."
"Zip/Postal Code","CEP"
"Country","País"
"Phone Number","Número do Telefone"
"Fax","Fax"
"Add All To Gift Registry","Adicionar tudo à lista de presente"
"Ship to registrant's address","Enviar para o endereço do registro."
"Use the gift registry shipping address","Usar o endereço de entrega da lista de presente"
"Added On","Adicionado em"
"Qty","Qtd"
"Qty Fulfilled","Quantidade Satisfeita"
"Update Gift Registry","Atualizar lista de presente"
"Back","Voltar"
"This gift registry has no items.","Esta lista de presente não tem nenhum item."
"Created On","Criado em"
"Manage Items","Gerenciar itens"
"Share","Compartilhar"
"Edit","Editar"
"You haven't created a gift registry yet.","Você ainda não criou uma lista de presente."
"Add New","Adicionar Novo"
"Remove","Remover"
"First Name","Nome"
"Name","Nome"
"Email","E-mail"
"* Required Fields","* Campos Obrigatórios"
"Sender","Remetente"
"Invitee","Convidado"
"Maximum %1 email addresses.","Máximo de %1 endereços de e-mail."
"Add Invitee","Adicionar convidado"
"Gift Registry Type","Tipo de lista de presente"
"Please select a gift registry type.","Por favor, selecione um tipo de lista de presente."
"Next","Próximo"
"Last Name","Sobrenome"
"Registrant Information","Informação do Registante"
"Maximum %1 registrants.","Máximo %1 registantes."
"Add Registrant","Adicionar Registante"
"Type:","Tipo:"
"Privacy Settings","Configurações de privacidade"
"Status","Situação"
"Gift Registry Items Updated","Os itens da lista de presente foram atualizados"
"Product Name","Nome do produto"
"Requested Quantity","Quantidade solicitada"
"Fulfilled Quantity","Quantidade Enviada"
"Total Fulfilled Quantity","Total de Quantidade Enviada"
"Remaining Quantity","Quantidade restante"
"Quantity:","Quantidade:"
"Customize and Add to Gift Registry","Personalizar e adicionar a lista de presente"
"This won't take long . . .","Não vai demorar."
"Required Fields","Campos Obrigatórios"
"Search Options","Opções de pesquisa"
"For better search results, first choose a gift registry type. By default, we search all registry types.","Para obter melhores resultados de pesquisa, escolha primeiro um tipo de lista de ofertas. Pesquisamos todos os tipos de registo por pré-definição."
"Type Specific Options","Opções específicas do tipo"
"Search","Pesquisa"
"Registrant Email","E-mail do Registante"
"Gift Registry ID","ID da Lista de Oferta"
"Search Results","Resultados da busca"
"Location","Localização"
"Actions","Ações"
"View","Visualizar"
"Your search returned no results.","A sua pesquisa não retornou resultados."
"Please enter at least two letters of the name.","Por favor, insira pelo menos duas letras no nome."
"Search By","Pesquisar por"
"Please enter at least two letters.","Por favor, insira pelo menos duas letras."
"Unit Price","Preço unitário"
"Add to Cart","Adicionar ao Carrinho"
"Gift Registry created at %store_name","Lista de ofertas criada na %store_name"
"%name,","%name,"
"You have successfully created the new gift registry ""%registry_name"".","Você criou com sucesso o novo registro gift ""%registry_name""."
"Now you can add products to your gift registry.","Agora já pode adicionar produtos à sua lista de ofertas."
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","Simplesmente aceda a <a href=""%store_url"">%store_name</a> e adicione os produtos que quiser ao seu carrinho de compras ou lista de desejos."
"You can then add the products to your registry from your shopping cart or wish list page.","Pode depois adicionar os produtos ao seu registo a partir da página do carrinho de compras ou da lista de desejos."
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","Pode também partilhar com os seus amigos e família ao iniciar sessão e visitar o separador Lista de Ofertas."
"Or you can email the following link and gift registry ID to them:","Ou pode enviar o seguinte link:"
"Registry Location:","Local da lista:"
"Registry ID:","ID do Registo:"
"Gift Registry shared at %store_name","Lista de ofertas partilhada na %store_name"
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","Você pode ver e comprar itens deste registro de gift em <a href=""%account_url"">%store_name</a>."
"Gift Registry:","Lista de presente:"
"Created For:","Criado por:"
"<strong>Registry Location:</strong> <a href='%registry_url'>%registry_url</a>","<strong>Registry Location:</strong> <a href='%registry_url'>%registry_url</a>"
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","Você pode criar a sua própria lista de presentes em <a href=""%account_url"">%store_name</a> e compartilhar com amigos e família."
"Gift Registry updated at %store_name","Lista de ofertas atualizada na %store_name"
"The following items have been purchased from your gift registry ""%registry_name"":","Os seguintes itens foram comprados a partir do seu registro de gift ""%registry_name"":"
"You can sign in to your account to view more details about this gift registry.","Pode iniciar sessão para ver mais detalhes acerca desta lista de ofertas."
"Ship to Recipient Address","Enviar para a Morada do Destinatário"
"Ship Here","Entregue Aqui"
"Recipient Address","Endereço do Destinatário"
"Use gift registry shipping address","Usar o endereço de entrega da lista de presentes"
"The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.","O único local para alterar o número de itens da lista de ofertas é na página de Informação da Lista de Ofertas ou diretamente no seu carrinho."
"Text","Texto"
"Gift Registry Details","Detalhes da Lista de Ofertas"
"Role","Função"
"Event Data","Data do evento"
"Event Information","Informações do evento"
"Event Country","País do evento"
"My event special","O meu evento especial"
"My special attribute","O meu atributo especial"
"Gift Registry Section","Secção da Lista de Ofertas"
"General Options","Opções gerais"
"Enable Gift Registry","Habilitar lista de presente"
"Maximum Registrants","Registantes Máximos"
"Owner Notification","Notificação do proprietário"
"Email Template","Template de E-mail"
"Email Sender","Remetente do e-mail"
"Gift Registry Sharing","Compartilhamento de lista de presente"
"Maximum Sent Emails Threshold","Limite Máximo de E-mails Enviados"
"Gift Registry Update","Atualização da Lista de Ofertas"
"Select","Selecione"
"Date","Data"
"Event Region Id","Id da Região do Evento"
"Event Region Text","Texto da Região do Evento"
"Event Location","Local do evento"
"Gift Registry Quick Search Form","Formulário de Pesquisa Rápida da Lista de Ofertas"
"Quick Search Form Types","Tipos de Formulário de Pesquisa Rápida"
"Template","Modelo"
"Default Template","Modelo padrão"
"Listed","Listado"
"Payment Type","Tipo de Pagamento"
"Transaction Type","Tipo de Transação"
"Transaction ID","ID Transação"
"BeagleScore","BeagleScore"
"CVV Verification","Verificação de CVV"
"Address Verification","Verificação de endereço"
"Email Verification","Verificação de e-mail"
"Mobile Verification","Verificação mobile"
"Phone Verification","Verificação de telefone"
"Card number","Número do cartão"
"Expiration Date","Data de Validade"
"Response Code","Código de resposta"
"Fraud Message","Mensagem de Fraude"
"Approve Message","Aprovar Mensagem"
"Sorry, but something went wrong","Desculpe, mas algo deu errado"
"Wrong response type","Tipo de resposta errada"
"Transaction has been declined. Please try again later.","A Transação foi recusada. Por favor tente novamente mais tarde."
"Authorize Only","Apenas Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Card Verification Number","Código de Verificação do Cartão"
"eWAY","eWAY"
"Enabled","Habilitado"
"Connection Type","Tipo de Conexão"
"Title","Título"
"Sandbox Mode","Modo Sandbox"
"Live API Key","Chave da Live API"
"Live API Password","Senha da API Live"
"Live Client-side Encryption Key","Chave de Encriptação do Client-side Live"
"Sandbox API Key","Chave da API Sandbox"
"Sandbox API Password","Senha da API Sandbox"
"Sandbox Client-side Encryption Key","Chave de Encriptação do Client-side Sandbox"
"Payment Action","Ação de Pagamento"
"Debug","Depurar"
"Credit Card Types","Tipo do Cartão de Crédito"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento a partir de Países Específicos"
"Sort Order","Ordenação"
"Transaction has been declined, please, try again later.","A transação foi recusada, por favor tente mais tarde."
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Issue Number","Número de emissão"
"Start Date","Data de Início"
"The response type is incorrect. Verify the type and try again.","O tipo da resposta está incorreto. Verifique o tipo e tente novamente."
"Condition type ""%1"" is not allowed","Tipo de condição ""%1"" não permitida"
"Insert Images...","Inserir Imagens..."
"The ""formElement"" configuration parameter is required for the ""%1"" field.","The ""formElement"" configuration parameter is required for the ""%1"" field."
"Remove %1","Remover %1"
"Add New %1","Adicionar Novo %1"
"New %1","Novo %1"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
"'The XML in file ""%1"" is invalid.' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid.' . ""\n%2\nVerify the XML and try again."""
".","."
"Unsupported bookmark action.","Ação de marcador não suportada."
"UI component could not be rendered because of system exception","UI component could not be rendered because of system exception"
"The parameter ""class"" is missing. Set the ""class"" and try again.","The parameter ""class"" is missing. Set the ""class"" and try again."
"The parameter ""sortOrder"" is missing. Set the ""sortOrder"" and try again.","The parameter ""sortOrder"" is missing. Set the ""sortOrder"" and try again."
"The ""%1"" UI component element name is invalid. Verify the name and try again.","The ""%1"" UI component element name is invalid. Verify the name and try again."
"The bookmark with ""%1"" ID doesn't exist. Verify your information and try again.","The bookmark with ""%1"" ID doesn't exist. Verify your information and try again."
"URL","URL"
"The """" UI component element name is invalid. Verify the name and try again.","The """" UI component element name is invalid. Verify the name and try again."
"Select","Selecionar"
"Cancel","Cancelar"
"Back","Voltar"
"Next","Próximo"
"Delete","Excluir"
"Previous Page","Previous Page"
"Next Page","Next Page"
"per page","por página"
"This element contains invalid data. Please resolve this before saving.","Esta aba contém dados inválidos. Por gentileza resolva isto antes de salvar."
"Use Default Value","Utilizar Valor Padrão"
"Yes","Sim"
"No","Não"
"Upload","Carregar"
"Select from Gallery","Selecionar na Galeria"
"Maximum file size","Tamanho máximo do arquivo"
"Allowed file types","Tipos de arquivo permitidos"
"Browse to find or drag image here","Navegue para encontrar ou arraste a imagem aqui"
"Delete image","Excluir Imagem"
"Click here or drag and drop to add files.","Clique aqui ou arraste e solte para adicionar arquivos."
"Changes have been made to this section that have not been saved.","Não foram salvas mudanças feitas nessa seleção."
"This tab contains invalid data. Please resolve this before saving.","Essa aba contém dados inválidos. Por favor corrija antes de salvar."
"Actions","Ações"
"Show more","Mostrar mais"
"Previous","Anterior"
"Close","Fechar"
"Options","Opções"
"Assign","Atribuir"
"Save View As...","Salvar Visão Como..."
"Submit","Enviar"
"Save all changes","Save all changes"
"Edit","Editar"
"Delete bookmark","Delete bookmark"
"Edit bookmark","Edit bookmark"
"Columns","Colunas"
"Reset","Reiniciar"
"Apply","Aplicar"
"All in Column","Todos na Coluna"
"Please make corrections to the errors in the table below and re-submit.","Please make corrections to the errors in the table below and re-submit."
"Save Edits","Salvar Edições"
"Save","Salvar"
"Record contains unsaved changes.","Registro contém alterações não salvas."
"Export","Exportar"
"Active filters\\:","Filtros ativos\\:"
"Remove","Remover"
"Clear all","Limpar tudo"
"Filters","Filtros"
"Advanced filter","Filtro avançado"
"Apply Filters","Aplicar filtros"
"We couldn't find any records.","We couldn't find any records."
"records found","registros encontrados"
"selected","selecionado"
"of","de"
"Custom","Personalizado"
"Search","Buscar"
"Sort by","Ordenar por"
"Select Items","Select Items"
"To Start","Para Começar"
"To End","Para Finalizar"
"Past","Passados"
"Today","Today"
"Tooltip","Dica"
"Add","Adicionar"
"Something went wrong.","Algo deu errado."
"The file upload field is disabled.","O campo de upload do arquivo está desativado."
"was not uploaded","não foi carregado"
"Done","Concluído"
"options","opções"
"Select...","Selecionar..."
"Selected","Selecionado"
"Entity with ID: %s doesn't exist","Entidade com ID: %s não existe"
"Open in new tab","Abrir em uma nova aba"
"Select All","Selecionar Todos"
"Deselect All","Desmarcar Tudo"
"Select All on This Page","Selecionar Tudo Nesta Página"
"Deselect All on This Page","Desmarcar Tudo Nesta Página"
"On","Ativado"
"Off","Desligado"
"Go to Details Page","Ir para a Página de Detalhes"
"New View","Nova Visão"
"Default View","Visualização padrão"
"${ $.visible } out of ${ $.total } visible","${ $.visible } de ${ $.total } visíveis"
"You have successfully saved your edits.","Gravou as suas edições com sucesso."
"There are {placeholder} messages requires your attention.","Existem mensagens {placeholder} que requerem sua atenção."
"from","de"
"to","para"
"You haven't selected any items!","Não selecionou nenhuns itens!"
"Search by keyword","Pesquisar por palavra-chave"
"Keyword","Palavra-chave"
"Select Date","Selecionar data"
"Please enter more or equal than {0} symbols.","Por favor insira {0} ou mais caracteres."
"Please enter less or equal than {0} symbols.","Por favor insira {0} ou menos caracteres."
"Please enter {0} words or less.","Por favor escreva {0} ou menos palavras."
"Please enter at least {0} words.","Por favor escreva pelo menos {0} palavras."
"Please enter between {0} and {1} words.","Por favor insira entre {0} e {1} palavras."
"Letters or punctuation only please","Apenas letras ou pontuação, por favor"
"Letters, numbers, spaces or underscores only please","Apenas letras, números, espaços ou underscores, por favor"
"Letters only please","Apenas letras, por favor"
"No white space please","Não coloque espaços, por favor"
"No marginal white space please","No marginal white space please"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","O seu Cep deve estar no intervalo 01000-xxx a 99999-xxx"
"A positive or negative non-decimal number please","Por favor insira um número inteiro negativo ou positivo"
"The specified vehicle identification number (VIN) is invalid.","A matrícula do veículo é inválida."
"Please enter a correct date","Por favor insira uma data correta"
"Vul hier een geldige datum in.","Por favor indique uma data válida neste campo."
"Please enter a valid time, between 00:00 and 23:59","Por favor insira uma hora válida, entre as 00:00 e as 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Por favor insira uma hora válida, entre as 00:00 am e as 11:59 pm"
"Please specify a valid phone number","Por favor especifique um número de telefone válido"
"Please specify a valid mobile number","Por favor especifique um número de celular válido"
"Please enter at least {0} characters","Por favor insira pelo menos {0} caracteres"
"Please enter a valid credit card number.","Por favor, insira um número de cartão de crédito válido."
"Please enter a valid IP v4 address.","Por favor introduza um endereço de IPv4 válido."
"Please enter a valid IP v6 address.","Por favor introduza um endereço de IPv6 válido."
"Invalid format.","Formato inválido."
"HTML tags are not allowed.","As tags HTML não são permitidas."
"Please select an option.","Por favor selecione uma opção."
"Empty Value.","Valor Vazio."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou espaços neste campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Por favor use apenas letras (a-z), números (0-9) ou underscore (_) neste campo, e o primeiro carácter deve ser uma letra."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Por favor use somente letras (a-z ou A-Z), números (0-9), espaços e ""#"" neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo (+35) 21 1234 1234"
